"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.07.2024","128.897","128.293","129.015","128.002","7,21B","0,47%"
"11.07.2024","128.294","127.221","128.326","127.221","7,97B","0,85%"
"10.07.2024","127.218","127.109","127.769","126.928","8,15B","0,09%"
"09.07.2024","127.108","126.548","127.295","125.937","6,68B","0,44%"
"08.07.2024","126.548","126.280","126.551","125.614","7,43B","0,22%"
"05.07.2024","126.267","126.165","126.662","125.556","8,09B","0,08%"
"04.07.2024","126.164","125.666","126.660","125.666","6,54B","0,40%"
"03.07.2024","125.662","124.787","126.581","124.787","8,53B","0,70%"
"02.07.2024","124.787","124.720","125.491","124.310","8,37B","0,06%"
"01.07.2024","124.718","123.905","125.220","123.735","8,23B","0,65%"
"28.06.2024","123.907","124.308","124.500","123.298","9,07B","-0,32%"
"27.06.2024","124.308","122.642","124.308","122.642","8,71B","1,36%"
"26.06.2024","122.641","122.331","122.701","121.402","8,18B","0,25%"
"25.06.2024","122.331","122.634","122.849","121.997","6,94M","-0,25%"
"24.06.2024","122.637","121.343","122.840","121.307","7,84M","1,07%"
"21.06.2024","121.341","120.446","121.580","120.061","12,91M","0,74%"
"20.06.2024","120.446","120.267","121.607","120.156","8,66M","0,15%"
"19.06.2024","120.261","119.630","120.383","118.960","5,65M","0,53%"
"18.06.2024","119.630","119.138","120.109","118.872","8,10M","0,41%"
"17.06.2024","119.138","119.663","119.663","118.685","7,38M","-0,44%"
"14.06.2024","119.662","119.558","120.214","118.828","7,85M","0,08%"
"13.06.2024","119.568","119.936","120.222","119.171","8,54M","-0,31%"
"12.06.2024","119.936","121.644","122.483","119.544","11,28M","-1,40%"
